Predominant Turbine Manufacturer,Predominant Turbine Model Number,manufacturer,model,power_rated_power
Acciona,AW100/3000,Acciona,AW-100/3000,"3,000.0 kW"
Acciona,AW116/3000,Acciona,AW-116/3000,"3,000.0 kW"
Acciona,AW125/3000,Acciona,AW-125/3000,"3,000.0 kW"
Acciona,AW125/3150,Acciona,AW-125/3000,"3,000.0 kW"
Acciona,AW132/3000,Acciona,AW-132/3000,"3,000.0 kW"
Acciona,AW77/1500,Acciona,AW-77/1500,"1,500.0 kW"
Acciona,AW82/1500,Acciona,AW-82/1500,"1,500.0 kW"
Alstom,ECO86,Alstom,ECO 86,"1,670.0 kW"
Alstom,Haliade 150,Alstom,Haliade 150,"6,000.0 kW"
Bonus,Bonus 65/13kW,Bonus,B62/1300,"1,300.0 kW"
CCWE,CCWE-3600/115.D,CCWE,CCWE3600HD,"3,600.0 kW"
Clipper,Liberty C89,Clipper,C89,"2,500.0 kW"
Clipper,Liberty C93,Clipper,C93,"2,500.0 kW"
Clipper,Liberty C96,Clipper ,C96,"2,500.0 kW"
CPC,FD77-1500-IIIA,Dongfang,FD77-1500 geared,"1,500.0 kW"
Danwin,Danwin 23/160,Danwin,Danwin 23/160,160.0 kW
DeWind,D8.2,DeWind,D8.2 WinDrive®,"2,000.0 kW"
DeWind,D9.2,DeWind,D9.2 WinDrive®,"2,000.0 kW"
EWT,DW54-900,EWT,DW 54-900,900.0 kW
Fuhrlander,FL 1000,Fuhrländer,FL 1000,"1,000.0 kW"
Fuhrlander,FL 1500-77,Fuhrländer,FL MD 77,"1,500.0 kW"
Fuhrlander,FL 250,Fuhrländer,FL 250,250.0 kW
Gamesa,AE59,Made - Endesa,AE-59,800.0 kW
Gamesa,G114-2.0,Gamesa,G114-2.0MW,"2,000.0 kW"
Gamesa,G126-2.5,Gamesa,G126-2.5MW,"2,500.0 kW"
Gamesa,G132-5.0,Gamesa,G132-5.0MW,"5,000.0 kW"
Gamesa,G47,Gamesa,G47,660.0 kW
Gamesa,G58-850,Gamesa,G58,850.0 kW
Gamesa,G78-2.0,Gamesa,G80,"2,000.0 kW"
Gamesa,G80-2.0,Gamesa,G80,"2,000.0 kW"
Gamesa,G87-2.0,Gamesa,G87,"2,000.0 kW"
Gamesa,G90-2.0,Gamesa,G90,"2,000.0 kW"
Gamesa,G97-2.0,Gamesa,G97,"2,000.0 kW"
GE,1.5 S,GE General Electric,GE 1.5s,"1,500.0 kW"
GE,1.5 SE,GE General Electric,GE 1.5se,"1,500.0 kW"
GE,1.5 SLE,GE General Electric,GE 1.5sle,"1,500.0 kW"
GE,1.5 XLE,GE General Electric,GE 1.5xle,"1,500.0 kW"
GE,1.5-77,GE General Electric,GE 1.5sle,"1,500.0 kW"
GE,1.5-82.5,GE General Electric,GE 1.5xle,"1,500.0 kW"
GE,1.6 82.5,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
GE,1.6 SLE,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
GE,1.6 XLE,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
GE,1.6-100,GE General Electric,GE 1.6 - 100,"1,600.0 kW"
GE,1.6-103,GE General Electric,GE 1.6 - 100,"1,600.0 kW"
GE,1.62-100,GE General Electric,GE 1.6 - 100,"1,600.0 kW"
GE,1.62-82.5,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
GE,1.6-82.5,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
GE,1.6-87,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
GE,1.68-82.5,GE General Electric,GE 1.6-82.5,"1,600.0 kW"
GE,1.7-100,GE General Electric,GE 1.7 - 100,"1,700.0 kW"
GE,1.7-103,GE General Electric,GE 1.7 - 103,"1,700.0 kW"
GE,1.79-100,GE General Electric,GE 1.7 - 100,"1,700.0 kW"
GE,1.85-82.5,GE General Electric,GE 1.85 - 82.5,"1,850.0 kW"
GE,1.85-87,GE General Electric,GE 1.85 - 87,"1,850.0 kW"
GE,2.0-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.3-107,GE General Electric,GE 2.3 -107,"2,300.0 kW"
GE,2.3-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.4-107,GE General Electric,GE 2.3 -107,"2,300.0 kW"
GE,2.5-100,GE General Electric,GE 2.5 - 100,"2,500.0 kW"
GE,2.5-103,GE General Electric,GE 2.5-103,"2,500.0 kW"
GE,2.5-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.5-120,GE General Electric,GE 2.5 - 120,"2,500.0 kW"
GE,2.5-127,GE General Electric,GE 2.2-2.5 - 127,"2,500.0 kW"
GE,2.52-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.7-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.72-116,GE General Electric,GE 2.0-2.7 - 116,"2,700.0 kW"
GE,2.75-103,GE General Electric,GE 2.75 - 103,"2,750.0 kW"
GE,2.75-120,GE General Electric,GE 2.75 - 120,"2,750.0 kW"
GE,2.82-127,GE General Electric,GE 2.2-2.5 - 127,"2,500.0 kW"
GE,2.85-100,GE General Electric,GE 2.85 - 100,"2,850.0 kW"
GE,2.85-103,GE General Electric,GE 2.85 - 103,"2,850.0 kW"
GE,3.6 SL,GE General Electric,GE 3.6s,"3,600.0 kW"
GE,3.8-137,GE General Electric,GE 3.8-137,"3,800.0 kW"
Goldwind,GW 100/2500,Goldwind,GW 100/2500,"2,500.0 kW"
Goldwind,GW 109/2500,Goldwind,GW 109/2500,"2,500.0 kW"
Goldwind,GW 121/2500,Goldwind,GW 121/2500,"2,500.0 kW"
Goldwind,GW 77/1500,Goldwind,GW 77/1500,"1,500.0 kW"
Goldwind,GW 82/1500,Goldwind,GW 82/1500,"1,500.0 kW"
Goldwind,GW 87/1500,Goldwind,GW 87/1500,"1,500.0 kW"
Goldwind,GW155/4200,Goldwind,GW 155/4500,"4,500.0 kW"
Guodian United Power,GUP1500-82,United Power,UP1500-86,"1,500.0 kW"
Hyundai,HQ1650,Hyundai,HQ1650/77,"1,650.0 kW"
Hyundai,HQ2000/86,Hyundai,HQ2000/86,"2,000.0 kW"
Kenersys,K100 2.5,Kenersys,K100 2.5MW,"2,500.0 kW"
Leitwind,LTW77 1.500,Leitwind,LTW77 1500,"1,500.0 kW"
Micon,108A,Micon,108,108.0 kW
Micon,M1500-600/150,Micon,M 1500-600,600.0 kW
Micon,M700-225/40,Micon,M 700-225,225.0 kW
Micon,M750-400/100,Micon,M 750/400,400.0 kW
Mitsubishi,MWT-1000,Mitsubishi,MWT-1000A,"1,000.0 kW"
Mitsubishi,MWT-1000A,Mitsubishi,MWT-1000A,"1,000.0 kW"
Mitsubishi,MWT-102/2.4,Mitsubishi,MWT-102/2.4,"2,400.0 kW"
Mitsubishi,MWT-250,Mitsubishi,MWT-250,250.0 kW
Mitsubishi,MWT-450,Mitsubishi,MWT-450,450.0 kW
Mitsubishi,MWT-600 (45m),Mitsubishi,MWT-600,600.0 kW
Mitsubishi,MWT-600 (47m),Mitsubishi,MWT-600,600.0 kW
Mitsubishi,MWT-62/1.0,Mitsubishi,MWT-62/1.0,"1,000.0 kW"
Mitsubishi,MWT-92/2.4,Mitsubishi,MWT-92/2.4,"2,400.0 kW"
Mitsubishi,MWT-95/2.4,Mitsubishi,MWT-95/2.4,"2,400.0 kW"
NedWind,NEDWIND 40,NedWind,NW 40/500,500.0 kW
NEG-Micon,NM48/750,NEG Micon,NM 48/750,750.0 kW
NEG-Micon,NM52/900,NEG Micon,NM 52/900,900.0 kW
NEG-Micon,NM54/950,NEG Micon,NM 54/950,950.0 kW
NEG-Micon,NM72C/1500,NEG Micon,NM 72C/1500,"1,500.0 kW"
NEG-Micon,NM82/1650,NEG Micon,NM 82/1650,"1,650.0 kW"
Nordex,N100/2500,Nordex,N100 Gamma,"2,500.0 kW"
Nordex,N117/2400,Nordex,N117 Gamma,"2,400.0 kW"
Nordex,N117/3000,Nordex,N117 Delta,"3,000.0 kW"
Nordex,N54/1000,Nordex,N54,"1,000.0 kW"
Nordex,N60/1300,Nordex,N60,"1,300.0 kW"
Nordex,N90/2500,Nordex,N90/2500,"2,500.0 kW"
Nordic,N1000-59,Nordic Windpower Co.,N1000,"1,000.0 kW"
Nordtank,NTK 500/41,Nordtank,NTK 500/41,500.0 kW
Nordtank,NTK 65/13,Nordtank,NTK 65,65.0 kW
Nordtank,NTK 75/15,Nordtank,NTK 65,65.0 kW
Northern Power,NPS 100C-24,NPS Northern Power,NPS 100C-24,100.0 kW
Renewtech,WT100,Renewtech LLC,WT-100,99.0 kW
REpower,MM92,REpower,MM92,"2,050.0 kW"
SANY,SE11020,SANY,SE10020,"2,000.0 kW"
SANY,SE8720IIIE,SANY,SE8720,"2,000.0 kW"
SANY,SE9320III-3,SANY,SE9320,"2,000.0 kW"
Senvion,MM92,Senvion,MM92,"2,050.0 kW"
Siemens,SWT-1.0-54,HSW Husumer Schiffs.,HSW 1000/54,"1,000.0 kW"
Siemens,SWT-1.3-62,Siemens,SWT-1.3-62,"1,300.0 kW"
Siemens,SWT-2.3-101,Siemens,SWT-2.3-101,"2,300.0 kW"
Siemens,SWT-2.3-108,Siemens,SWT-2.3-108,"2,300.0 kW"
Siemens,SWT-2.3-82,Siemens,SWT-2.3-82,"2,300.0 kW"
Siemens,SWT-2.3-82 VS,Siemens,SWT-2.3-82,"2,300.0 kW"
Siemens,SWT-2.3-93,Siemens,SWT-2.3-93,"2,300.0 kW"
Siemens,SWT-2.625-120,Siemens Gamesa,SG 2.6-114,"2,625.0 kW"
Siemens,SWT-3.0-101,Siemens,SWT-3.0-101,"3,000.0 kW"
Siemens,SWT-3.2-113,Siemens,SWT-3.2-113,"3,200.0 kW"
Siemens Gamesa,G132-3.465,Gamesa,G132-3.465MW,"3,465.0 kW"
Siemens Gamesa,SG 2.7-129,Siemens Gamesa,SG 2.7-129,"2,750.0 kW"
Siemens Gamesa,SWT-2.415-108,Siemens,SWT-2.3-108,"2,300.0 kW"
Sinovel,SL1500/82,Sinovel,SL1500/82,"1,500.0 kW"
Suzlon,S111,Suzlon,S.111-2100,"2,100.0 kW"
Suzlon,S52,Suzlon,S.97-2100,"2,100.0 kW"
Suzlon,S64-1250,Suzlon,S.64-1250,"1,250.0 kW"
Suzlon,S64-950,Suzlon,S.64-950,950.0 kW
Suzlon,S88-2100,Suzlon,S.88-2100,"2,100.0 kW"
Suzlon,S97-2100,Suzlon,S.97-2100,"2,100.0 kW"
Unison,U57,Unison,U57,750.0 kW
VENSYS,VENSYS120,Vensys,120/3000,"3,000.0 kW"
VENSYS,VENSYS77,ReGen Powertech,VENSYS 77,"1,500.0 kW"
VENSYS,VENSYS82,ReGen Powertech,VENSYS 82,"1,500.0 kW"
Vestas,PS-600,RRB Energy,Pawan Shakthi PS-600,600.0 kW
Vestas,V100-1.8,Vestas,V100-1.8,"1,800.0 kW"
Vestas,V100-2.0,Vestas,V100-2.0,"2,000.0 kW"
VESTAS,V100-2.0,Vestas,V100-2.0,"2,000.0 kW"
Vestas,V110-2.0,Vestas,V110-2.0,"2,000.0 kW"
Vestas,V112-3.0,Vestas,V112-3.075 Onshore,"3,075.0 kW"
Vestas,V112-3.3,Vestas,V112-3.3,"3,300.0 kW"
Vestas,V112-3.45,Vestas,V112-3.45,"3,450.0 kW"
Vestas,V116-2.1,Vestas,V116-2.1,"2,100.0 kW"
Vestas,V117-3.3,Vestas,V117-3.3,"3,300.0 kW"
Vestas,V117-3.45,Vestas,V117-3.45,"3,450.0 kW"
Vestas,V120-2.0,Vestas,V120-2.0,"2,000.0 kW"
Vestas,V120-2.2,Vestas,V120-2.2,"2,200.0 kW"
Vestas,V126-3.3,Vestas,V126-3.3,"3,300.0 kW"
Vestas,V126-3.45,Vestas,V126-3.45,"3,450.0 kW"
Vestas,V136-3.45,Vestas,V136-3.45,"3,450.0 kW"
Vestas,V136-3.6,Vestas,V136-3.45,"3,450.0 kW"
Vestas,V136-4.2,Vestas,V136-4.2,"4,200.0 kW"
Vestas,V15,Vestas,V15,55.0 kW
Vestas,V150-4.2,Vestas,V150-4.2,"4,200.0 kW"
Vestas,V17-75,Vestas,V17 - 75,75.0 kW
Vestas,V17-90,Vestas,V17 - 75,90.0 kW
Vestas,V27-225,Vestas,V27,225.0 kW
Vestas,V42-600,Vestas,V42,600.0 kW
Vestas,V47-660,Vestas,V47-660,660.0 kW
Vestas,V66-1.65,Vestas,V66-1.65,"1,650.0 kW"
Vestas,V80-1.8,Vestas,V80-1.8,"1,800.0 kW"
Vestas,V80-2.0,Vestas,V80-2.0,"2,000.0 kW"
Vestas,V82,Vestas,V82-1.5,"1,500.0 kW"
Vestas,V82-1.65,Vestas,V82-1.65,"1,650.0 kW"
Vestas,V90-1.8,Vestas,V90-1.8,"1,800.0 kW"
Vestas,V90-2.0,Vestas,V90,"2,000.0 kW"
Vestas,V90-3.0,Vestas,V90-3.0,"3,000.0 kW"
Vestas,Vestas V-47,Vestas,V47,660.0 kW
Zond,Z-40,Zond,Z-40-FS,550.0 kW
Zond,Z-48,Zond,Z-48,750.0 kW
Zond,Z-50,Zond,Z-50,750.0 kW
